country,founded,id,industry,linkedin_url,locality,name,region,size,website,country_iso2
czechia,2024,virtual-dreams-studio,computer games,linkedin.com/company/virtual-dreams-studio,,virtual dreams studio,praha,11-50,,CZ
canada,2023,vitam-aeternam-studio,computer games,linkedin.com/company/vitam-aeternam-studio,,vitam aeternam studio,quebec,1-10,vitamaeternamstudio.com,CA
,2023,dyepax,computer games,linkedin.com/company/dyepax,,dyepax,,1-10,dyepax.com,
germany,2023,softspotgames,computer games,linkedin.com/company/softspotgames,,soft spot:games,,1-10,softspotgames.de,DE
brazil,2023,tupã-game-studio,computer games,linkedin.com/company/tupã-game-studio,belo horizonte,tupã game studio,minas gerais,1-10,,BR
belgium,2023,spellwarest,computer games,linkedin.com/company/spellwarest,,spellware studios,,1-10,spellwarestudios.com,BE
united kingdom,2023,lighthousegames,computer games,linkedin.com/company/lighthousegames,royal leamington spa,lighthouse games,warwickshire,11-50,lighthousegames.com,GB
turkey,2023,playgiantstudio,computer games,linkedin.com/company/playgiantstudio,,play giant studios,istanbul,1-10,,TR
india,2023,danzerart,computer games,linkedin.com/company/danzerart,lucknow,danzerart,uttar pradesh,1-10,,IN
united kingdom,2023,toon-tech,computer games,linkedin.com/company/toon-tech,london,toon tech,london,1-10,,GB
canada,2023,dna-creative-inc,computer games,linkedin.com/company/dna-creative-inc,toronto,dna creative inc.,ontario,1-10,dnacreative.ca,CA
sweden,2023,gamesuite,computer games,linkedin.com/company/gamesuite,,gamesuite,saintckholm,1-10,gamesuite.com,SE
,2023,dustupgg,computer games,linkedin.com/company/dustupgg,,dustup,,1-10,dustup.gg,
united states,2023,mischief-michi,computer games,linkedin.com/company/mischief-michi,new york,mischief michi media,new york,1-10,mischiefmichi.com,US
canada,2023,tristestudios,computer games,linkedin.com/company/tristestudios,burnaby,triste studios,british columbia,1-10,tristestudios.com,CA
germany,2023,gamedev-gems,computer games,linkedin.com/company/gamedev-gems,,gamedev gems,berlin,1-10,gamedevgems.com,DE
united arab emirates,2023,theoikos-game,computer games,linkedin.com/company/theoikos-game,,the oikos,dubai,1-10,theoikos.game,AE
,2023,handler-hand-shake-with-ai,computer games,linkedin.com/company/handler-hand-shake-with-ai,,handler - hand shake with ai,,1-10,,
united states,2023,twodog,computer games,linkedin.com/company/twodog,milpitas,two dog,california,1-10,twodogcorporation.com,US
turkey,2023,crowstudios,computer games,linkedin.com/company/crowstudios,,crow studios,istanbul,1-10,crowstudios.co,TR
,2023,games-leadership-network,computer games,linkedin.com/company/games-leadership-network,,games leadership network,,1-10,gamesleadership.com,
united kingdom,2023,kreek-interactive,computer games,linkedin.com/company/kreek-interactive,,kreek,portsmouth,1-10,linktr.ee/kreek.uk,GB
brazil,2023,hoxesports,computer games,linkedin.com/company/hoxesports,,hox e-sports,sao paulo,1-10,,BR
netherlands,2023,liminal-game-studios,computer games,linkedin.com/company/liminal-game-studios,,liminal game studios,utrecht,1-10,liminalgamestudios.com,NL
south africa,2023,elastic-elk-studios,computer games,linkedin.com/company/elastic-elk-studios,,elastic elk studios,western cape,1-10,elasticelkstudios.co.za,ZA
,2023,gamesfinder-gg,computer games,linkedin.com/company/gamesfinder-gg,,gamesfinder.gg,,1-10,gamesfinder.gg,
serbia,2023,vortech-games,computer games,linkedin.com/company/vortech-games,,vortech games,,11-50,vortech-games.com,RS
spain,2023,monster-puppet-corporation,computer games,linkedin.com/company/monster-puppet-corporation,barcelona,monster puppet corporation,catalonia,1-10,monster-puppet.com,ES
,2023,dati-technology-co-ltd,computer games,linkedin.com/company/dati-technology-co-ltd,,"dati technology co., ltd.",,11-50,dotchclub.com,
indonesia,2023,diabolical-games,computer games,linkedin.com/company/diabolical-games,gading,diabolical games,nusa tenggara barat,1-10,peternelsonsub.com,ID
georgia,2023,karno-games,computer games,linkedin.com/company/karno-games,,karno games,t'bilisi,1-10,,GE
india,2023,avian-hearts,computer games,linkedin.com/company/avian-hearts,pune,avian hearts,maharashtra,1-10,,IN
united arab emirates,2023,smoshh-friends,computer games,linkedin.com/company/smoshh-friends,,smoshh & friends,dubai,1-10,smoshh.com,AE
macau,2023,golden-coin-turtle-studio,computer games,linkedin.com/company/golden-coin-turtle-studio,macau,golden coin turtle studio,,1-10,goldencointurtle.com,MO
philippines,2023,capriccioso-games-studio,computer games,linkedin.com/company/capriccioso-games-studio,cebu,capriccioso games studio,cebu city,1-10,capriccioso.studio,PH
france,2023,nocturne-games,computer games,linkedin.com/company/nocturne-games,paris,nocturne games,ile-de-france,1-10,,FR
united kingdom,2023,fuse-games-uk,computer games,linkedin.com/company/fuse-games-uk,guildford,fuse games,surrey,11-50,fusegames.com,GB
,2023,mzry-esports,computer games,linkedin.com/company/mzry-esports,,mzry esports,,1-10,mzrygaming.myportfolio.com,
turkey,2023,funrado,computer games,linkedin.com/company/funrado,,funrado,ankara,1-10,funrado.com,TR
,2023,syde-swipe-studios,computer games,linkedin.com/company/syde-swipe-studios,,"syde swipe studios, llc",,1-10,sydeswipe.com,
nigeria,2023,cloudwaregames,computer games,linkedin.com/company/cloudwaregames,,cloudware games,,1-10,cloudwaregames.com,NG
netherlands,2023,secret-of-games,computer games,linkedin.com/company/secret-of-games,eindhoven,secret of games,noord-brabant,1-10,secretofgames.com,NL
romania,2023,bullseyestudio,computer games,linkedin.com/company/bullseyestudio,cluj-napoca,bullseye web3 studio,cluj,11-50,bullseyestudio.io,RO
lithuania,2023,bangbangstudio,computer games,linkedin.com/company/bangbangstudio,,bang bang studio,vilnius,1-10,dribbble.com/bangdesign,LT
united states,2023,firebreak-games,computer games,linkedin.com/company/firebreak-games,flagstaff,firebreak games,arizona,1-10,,US
japan,2023,entica-inc,computer games,linkedin.com/company/entica-inc,tokyo,entica inc.,tokyo,1-10,entica.xyz,JP
isle of man,2023,blockupgames,computer games,linkedin.com/company/blockupgames,,blockup,douglas,1-10,,IM
france,2023,awesome-game-concepts,computer games,linkedin.com/company/awesome-game-concepts,montpellier,awesome game concepts,hérault,1-10,awesomegameconcepts.com,FR
,2023,usefrancophone,computer games,linkedin.com/company/usefrancophone,,union du sport électronique francophone,,11-50,discord.gg/6xtgd9xk2y,
united kingdom,2023,muck-studio,computer games,linkedin.com/company/muck-studio,london,muck studio,greater london,1-10,muckstudio.com,GB
turkey,2023,pozisyon,computer games,linkedin.com/company/pozisyon,gebze,pozisyon futbol kart oyunu,kocaeli,1-10,,TR
czechia,2023,remangu,computer games,linkedin.com/company/remangu,prague,remāngu,praha,1-10,remangu.com,CZ
india,2023,polymator,computer games,linkedin.com/company/polymator,ahmadabad,polymator interactive private limited,gujarat,1-10,polymator.com,IN
,2023,unifex,computer games,linkedin.com/company/unifex,,unifex llc,,1-10,,
brazil,2023,eldriss,computer games,linkedin.com/company/eldriss,belo horizonte,eldriss studios 🔥❄,minas gerais,1-10,,BR
turkey,2023,duckheads-studios,computer games,linkedin.com/company/duckheads-studios,bayrampasa,duckheads studios,istanbul,11-50,,TR
united states,2023,3thix,computer games,linkedin.com/company/3thix,austin,3thix,texas,1-10,3thix.com,US
france,2023,hectiq-games,computer games,linkedin.com/company/hectiq-games,bordeaux,hectiq,nouvelle-aquitaine,1-10,hectiq.games,FR
united states,2023,gremm-studio-s,computer games,linkedin.com/company/gremm-studio-s,dillsboro,gremm studio's,indiana,1-10,viola-harpsichord-fjp3.squarespace.com,US
united states,2023,xr-game-labs,computer games,linkedin.com/company/xr-game-labs,san francisco,xr game labs,california,1-10,xrgamelabs.com,US
israel,2023,icyghost,computer games,linkedin.com/company/icyghost,,icy ghost,tel aviv,11-50,icyghost.com,IL
turkey,2023,mybaeapps,computer games,linkedin.com/company/mybaeapps,,mybae,i̇zmir,1-10,,TR
south africa,2023,pinpin-world,computer games,linkedin.com/company/pinpin-world,cape town,pinpin.world,western cape,11-50,,ZA
spain,2023,asunder-games,computer games,linkedin.com/company/asunder-games,el torno,asunder games,asturias,11-50,,ES
,2023,eurochessapp,computer games,linkedin.com/company/eurochessapp,,eurochess,,1-10,eurochess.net,
united states,2023,boomedgg,computer games,linkedin.com/company/boomedgg,chicago,boomedgg,illinois,1-10,boomedtalent.com,US
indonesia,2023,the-play-it,computer games,linkedin.com/company/the-play-it,,playit,bali,1-10,theplayit.com,ID
turkey,2023,anka-interactive,computer games,linkedin.com/company/anka-interactive,ankara,anka interactive,ankara,1-10,ankainteractive.com,TR
colombia,2023,blizzie,computer games,linkedin.com/company/blizzie,medellin,blizzie.co,antioquia,1-10,blizzie.co,CO
india,2023,rayll-studios,computer games,linkedin.com/company/rayll-studios,delhi,rayll studios,delhi,1-10,rayllstudios.com,IN
,2023,bowledgg,computer games,linkedin.com/company/bowledgg,,bowled.gg,,1-10,bowled.gg,
france,2023,sevlac-games,computer games,linkedin.com/company/sevlac-games,bron,sevlac games,auvergne-rhône-alpes,1-10,,FR
france,2023,hanagames,computer games,linkedin.com/company/hanagames,,hana games,,1-10,hanagames.net,FR
turkey,2023,marsias-games,computer games,linkedin.com/company/marsias-games,,marsias games,aydın,1-10,,TR
south korea,2023,ndus-interactive,computer games,linkedin.com/company/ndus-interactive,,ndus interactive,seoul,11-50,xociety.io,KR
france,2023,wolves-and-fairies,computer games,linkedin.com/company/wolves-and-fairies,mâcon,wolves and fairies,bourgogne-franche-comte,1-10,wolvesandfairies.com,FR
united states,2023,ralnier-media-rng-studios,computer games,linkedin.com/company/ralnier-media-rng-studios,erie,ralnier media (rng studios),pennsylvania,1-10,ralniermedia.com,US
turkey,2023,vega-games-studio,computer games,linkedin.com/company/vega-games-studio,,vega games,istanbul,1-10,vegagames.com.tr,TR
india,2023,valluru-tech,computer games,linkedin.com/company/valluru-tech,hyderabad,valluru tech,telangana,1-10,,IN
spain,2023,swipal,computer games,linkedin.com/company/swipal,malaga,swipal,andalucia,1-10,linktr.ee/swipal,ES
south korea,2023,lord-of-dragons,computer games,linkedin.com/company/lord-of-dragons,,lord of dragons,seoul,51-200,lordofdragons.io,KR
united states,2023,carmile-online,computer games,linkedin.com/company/carmile-online,,carmile.us,delaware,11-50,carmile.online,US
mexico,2023,mexifan,computer games,linkedin.com/company/mexifan,monterrey,mexifan,nuevo leon,1-10,mexifan.app,MX
india,2023,crab-e-sports,computer games,linkedin.com/company/crab-e-sports,mumbai,crab e-sports,maharashtra,11-50,,IN
turkey,2023,ukiyogames,computer games,linkedin.com/company/ukiyogames,,ukiyo,istanbul,1-10,ukiyogames.com.tr,TR
united states,2023,saqibsalazar-digital,computer games,linkedin.com/company/saqibsalazar-digital,richardson,saqibsalazar digital llc,texas,1-10,saqibsalazardigital.com,US
turkey,2023,limonit-games,computer games,linkedin.com/company/limonit-games,,limonit games,konya,1-10,limonitgame.blogspot.com,TR
france,2023,vanilledeluxe,computer games,linkedin.com/company/vanilledeluxe,besançon,vanilledeluxe,bourgogne-franche-comte,1-10,vanilledeluxe.com,FR
italy,2023,novo-esports,computer games,linkedin.com/company/novo-esports,milan,novo esports,lombardia,1-10,novoesports.gg,IT
france,2023,blob-ink,computer games,linkedin.com/company/blob-ink,lyon,blob ink.,auvergne-rhône-alpes,11-50,blobinkggs.wixsite.com/site,FR
,2023,bazaar-game-store,computer games,linkedin.com/company/bazaar-game-store,,bazaar game store,,1-10,bazaar.so,
united states,2023,nth-degree-games,computer games,linkedin.com/company/nth-degree-games,burlingame,nth degree games,california,1-10,nthdegree.games,US
france,2023,lunarygames,computer games,linkedin.com/company/lunarygames,le blanc-mesnil,lunarygames,ile-de-france,1-10,lunarygames.com,FR
india,2023,yellowman-game-studio,computer games,linkedin.com/company/yellowman-game-studio,,yellowman - indie game studio,,1-10,yellowman.co.in,IN
united states,2023,623-studios,computer games,linkedin.com/company/623-studios,college park,623 studios,maryland,1-10,623studios.io,US
germany,2023,skylab-interactive,computer games,linkedin.com/company/skylab-interactive,,skylab interactive,berlin,1-10,skylabinteractive.com,DE
turkey,2023,oyunin,computer games,linkedin.com/company/oyunin,,oyunin,aydın,1-10,oyunin.com,TR
germany,2023,lesser-evil-games,computer games,linkedin.com/company/lesser-evil-games,munich,lesser evil,bavaria,1-10,lesserevil.games,DE
united states,2023,ready-hero,computer games,linkedin.com/company/ready-hero,seattle,ready hero,washington,1-10,,US
canada,2023,dark-panda-studio,computer games,linkedin.com/company/dark-panda-studio,montreal,dark panda,quebec,1-10,darkpanda.studio,CA
turkey,2023,sentiment-studio,computer games,linkedin.com/company/sentiment-studio,,sentiment studio,istanbul,1-10,,TR
,2023,catoptric-games,computer games,linkedin.com/company/catoptric-games,,catoptric games,,11-50,,
india,2023,thealfheim,computer games,linkedin.com/company/thealfheim,mumbai,alfheim,maharashtra,1-10,alfheim.in,IN
india,2023,glazergames,computer games,linkedin.com/company/glazergames,,glazer games india pvt. ltd.,gujarat,11-50,glazer.games,IN
sri lanka,2023,squad-mate,computer games,linkedin.com/company/squad-mate,athurugiriya,squadmate,western province,1-10,squad-mate-production.up.railway.app,LK
germany,2023,getbid-games,computer games,linkedin.com/company/getbid-games,,getbid games,hesse,1-10,,DE
,2023,playnook,computer games,linkedin.com/company/playnook,,playnook,,1-10,playnook.games,
sweden,2023,nordic-horde-studios,computer games,linkedin.com/company/nordic-horde-studios,,nordic horde studios,,1-10,discord.gg/d7cthzab,SE
,2023,storycraftgames,computer games,linkedin.com/company/storycraftgames,,storycraft,,1-10,storycraft.gg,
united states,2023,rise-of-the-clones,computer games,linkedin.com/company/rise-of-the-clones,san rafael,rise of the clones,california,1-10,riseoftheclones.com,US
norway,2023,secret-clubhouse,computer games,linkedin.com/company/secret-clubhouse,arendal,secret clubhouse,aust-agder,1-10,secretclubhouse.com,NO
poland,2023,2immerse,computer games,linkedin.com/company/2immerse,,2immerse,,51-200,,PL
,2023,heap-games,computer games,linkedin.com/company/heap-games,,heap games,,1-10,heapgames.com,
sweden,2023,kikimora-games,computer games,linkedin.com/company/kikimora-games,,kikimora games,saintckholm,1-10,kikimora.games,SE
united arab emirates,2023,codepsyche,computer games,linkedin.com/company/codepsyche,,code psyche productions,dubai,1-10,codepsyche.net,AE
united kingdom,2023,nexusphere-studios,computer games,linkedin.com/company/nexusphere-studios,london,nexusphere studios,greater london,1-10,,GB
brazil,2023,siga-sipat,computer games,linkedin.com/company/siga-sipat,belo horizonte,siga sipat,minas gerais,11-50,sipat.radarfit.com.br,BR
israel,2023,ingames-io,computer games,linkedin.com/company/ingames-io,ra'anana,ingames.io,central district,11-50,ingames.io,IL
,2023,veridian-studio,computer games,linkedin.com/company/veridian-studio,,veridian studio,,1-10,,
sweden,2023,apskeppet,computer games,linkedin.com/company/apskeppet,gothenburg,apskeppet,västra götaland,1-10,apskeppet.se,SE
turkey,2023,cashpa,computer games,linkedin.com/company/cashpa,çankaya,cashpa,ankara,1-10,cashpa.com.tr,TR
indonesia,2023,utopiastudioid,computer games,linkedin.com/company/utopiastudioid,banyuwangi,utopia studio,east java,1-10,,ID
united kingdom,2023,voracity-esports,computer games,linkedin.com/company/voracity-esports,,voracity esports,,11-50,voracityesports.com,GB
sweden,2023,studioorendo,computer games,linkedin.com/company/studioorendo,,studioorendo,,1-10,orendo.se,SE
,2023,udefcast,computer games,linkedin.com/company/udefcast,,udef casting agency,,1-10,twitter.com/udefcast,
united kingdom,2023,ochre-shot,computer games,linkedin.com/company/ochre-shot,,ochre shot,nottinghamshire,1-10,ochreshot.com,GB
